1,22RV1
2,647-V
3,A549
4,BFTC-905
5,BT-20
6,BT-474
7,BT-549
8,C32
9,CAL-120
10,CAL-148
11,CAL-51
12,Calu-3
13,Calu-6
14,CAMA-1
15,COLO-205
16,DMS-114
17,DU-4475
18,EVSA-T
19,HCC1143
20,HCC1187
21,HCC1395
22,HCC1419
23,HCC1428
24,HCC1500
25,HCC1569
26,HCC1806
27,HCC1937
28,HCC1954
29,HCC38
30,HCC70
31,HCT-116
32,Hs-578-T
33,HT-1197
34,HT-1376
35,HT-29
36,J82
37,KATOIII
38,KMS-11
39,KU-19-19
40,LS-513
41,M14
42,MCF7
43,MDA-MB-157
44,MDA-MB-175-VII
45,MDA-MB-231
46,MDA-MB-361
47,MDA-MB-415
48,MDA-MB-436
49,MDA-MB-453
50,MDA-MB-468
51,MFM-223
52,NCI-H1299
53,NCI-H1437
54,NCI-H1563
55,NCI-H1703
56,NCI-H1793
57,NCI-H1975
58,NCI-H2085
59,NCI-H2170
60,NCI-H2228
61,NCI-H226
62,NCI-H2291
63,NCI-H23
64,NCI-H3122
65,NCI-H358
66,NCI-H520
67,NCI-H522
68,NCI-H747
69,NCI-H838
70,NCI-SNU-16
71,RKO
72,RT4
73,SW48
74,SW620
75,SW780
76,SW837
77,SW900
78,SW948
79,T-24
80,T47D
81,TCCSUP
82,UACC-812
83,UM-UC-3
84,VCaP
85,VM-CUB-1
